ID,Medicine Name,Generic Name
370,SUPRAPUBIC SET(PERCATANEOUS PIG)10F-22CM,
371,SUPRAPUBIC SET(PERCUTANEOUS PIG.)14F-22CM,
372,SUPRAPUBIC SET(PERCUTANEOUS PIG.)16F-22CM,
373,SUPRIDOL 100MG SUPPOS.,
374,SURBEX XT,
375,SURGEON SURGI.BLADE 11 1PIC,
376,SURGEON SURGI.BLADE 15 1PIC,
377,SURGEON SURGI.BLADE 22 1PIC,
378,SURGEON SURGI.BLADE 23 1PIC,
379,SURGEON SURGI.BLADE 24 1PIC,
380,SURGICEL  4X8 IN,
381,SURGIDAC ENDO STITCH 2/0 48,
382,SURGINEEDLE  150 MM,
383,SURGINEEDLE 120MM(STANDARD),
384,SURGIWEAR G-KIT,
385,SURGIWEAR IN.DRAPE LARGE 50X35C,
386,SURGIWEAR IN.DRAPE X LARGE,
387,SURGIWEAR IO DRAPE  XL 1PIC,
388,SURGIWEAR IO DRAPE 35X35 LARGE 1PIC,
389,SURGIWEAR IO DRAPE SMALL,
390,SURGIWEAR LAPAROSCOPY DRAPE ECO,
391,SURGIWEAR MAJOR DRAPE ECO,
392,SURGIWEAR PLAIN SHEET LARGE 301,
393,SURGIWEAR PLAIN SHEET SMALL 300,
394,SURGIWEAR PLAIN TOWEL 303,
395,SUSPENSARY BANDAGE (M),
396,SUSPENSORY BANDAGE (S),
397,SUSPENSORY BANDAGE (XL),
398,SUSTAMET AM ,
399,SUTUPAK 1 NW215,
400,SUTUPAK 1-0 NW214,
401,RELISPRAY (135G),
402,REOKAY,
403,RESOURCE HEPATIC POW 200G,
404,RESOURCE HIGH PROTEIN POWDER 200G,
405,RESTYL 0.25MG,
406,RESTYL 0.5MG,
407,RIB BELT (MEDIUM),
408,RIFA I-6,
409,RIMACTAZID 450/300,
410,RIP ,
411,RIVOTRIL 0.5MG ,
412,RIXMIN 550 ,
413,RL 1000ML,
414,RL 500 ML,
415,RL 500 ML GLASS,
416,ROBINAXOL D ,
417,ROBINAXOL ,
418,ROCUNIUM 5 ML,
419,ROMO ADK CATHETER 24 1PIC,
420,ROMO ADK CATHETER 32 1PIC,
421,ROMO ADK CATHETER 36 1PIC,
422,ROMO VAC SET 10G. 1PIC,
423,ROMO VAC SET 12G. 1PIC,
424,ROMO VAC SET 14G. 1PIC,
425,ROMO VAC SET 16G. 1PIC,
426,ROMO VAC SET 18G. 1PIC,
427,ROMODRAIN ICD BAG,
428,ROSOLATE-N ,
429,ROSUSON 10MG ,
430,ROSUSON 5MG,
431,ROTAHALER,
432,ROWASA 500 MG  SACHET,
433,ROWASA SACHET,
434,ROZUCOR F 10MG ,
435,RUT KIT,
436,RYLE'S TUBE 10,
437,RYLE'S TUBE 14,
438,RYLE'S TUBE 16,
439,SAVLON SOAP (ALL) 75G,
440,SAZO 1000 MG,
441,SAZO 500 MG,
442,SCALP VEIN SET G 20 1SET,
443,SCALP VEIN SET G 21 1SET,
444,SCALP VEIN SET G 22 1SET,
445,SCALP VEIN SET G 23 1PIC,
446,SCLERO NEEDLE 21G 170CM,
447,SCLERO NEEDLE 21G X 230CM GASTRAO,
448,SCLERO NEEDLE 23 X230CM GASTRO,
449,SCLERO NEEDLE 24 G 170CM,
450,SCLERO NEEDLE 24G 230CM,
451,SCOPY COVER,
452,SECURESTRAP (STRAP25),
453,SELIP,
454,SELOKEN XL 50 MG,
455,SENSORCAINE 0.5% VIAL,
456,SEPTRAN,
457,SERENACE 0.25MG ,
458,SERENACE 0.5MG,
459,SERENACE 1ML ,
460,SERTA 100MG,
461,SERTA 25MG ,
462,SERTA 50MG,
463,SEVORANE,
464,SF PLUS BAG 38MM,
465,SF PLUS BAG 45 MM,
466,SF PLUS BAG 57MM,
467,SF PLUS BAG 70MM,
468,SF PLUS WAFER 45MM,
469,SF PLUS WAFER 57MM,
470,SF PLUS WAFER 70 MM,
471,SHAVING KIT RAZER,
472,SHELCAL 500MG,
473,SIBOFIX 200,
474,SIBOFIX 400,
475,PEG SET COOK,
476,SIBOFIX 550MG,
477,SIGNOFLAM,
478,SILICON CHANNEL( 201-1019 ),
479,SILICON FOLEY BALLOON CATH 12 1PIC,
480,SILICON FOLEY BALLOON CATH 14 1PIC,
481,SILICON FOLEY BALLOON CATH 18 1PIC,
482,SILK REAL 3.0 R 822 1,
483,SILK REAL 4-0 821 1PIC,
484,SILKAM 2 0  213  G0264067,
485,SKIN MARKER,
486,SKIN STAPLER SLANEY,
487,SLANOL HANDRUB 100 ML,
488,SOBISIS ,
489,PEG SET FREKA,
490,PEGLEC POWDER 137.15G,
491,PEGWASH POWDER,
492,PEPCIA-D ,
493,PEPTAMEN PEPTIDE DIET,
494,PERICAN NEEDLE 18G,
495,PERIFIX 300 SET 1SET,
496,PERIFIX 401  1SET,
497,PERIFIX 402 SET 1SET,
498,PERINORM ,
499,PERINORM  30ML,
500,PERINORM ,
501,PHENERGAN  2ML,
502,PHENERGAN PLUS ,
503,PHENERGAN 100ML,
504,PHENIL EYE/EAR/NASAL DROPS,
505,PICLIN 10 MG ,
506,PIGTIL DRAINAG CATH 10 F X 30CM,
507,PIGTIL DRAINAG CATH 12 F X 30CM,
508,PIGTIL DRAINAG CATH 14 F X 30CM,
509,PIPZO 4.5G,
510,PLASTIC GLOVES,
511,PNEUMOVAX 23 VACCINE 0.5ML,
512,POLYBION,
513,PROLENE 5-0 NW881,
514,PROLENE 5-0 NW882 DOBLE NEEDLE,
515,PROLENE 6-0 8718 1PIC,
516,PROMAXE POW,
517,PRONIM 100MG,
518,PROTA ,
519,PYRIMON EYE DROPS,
520,PYROLATE 1MML,
521,PZIDE  500 MG,
522,PZIDE  750 MG,
523,Q SYTE 2 BI  EXTENSION,
524,Q SYTE 3 TRI  EXTENSION,
525,QUINTOR INFUSION 100ML,
526,SAFIL 1  C1048557 V2347,
527,SALTUM ,
528,SANDOSTATIN 0.1MG/ML,
529,SAROTENA 25MG,
530,SATROGYL 300MG,
531,SATROGYL O,
532,SCALP VEIN SET G 24 1SET,
533,SELOMAX 50/5,
534,SEPGARD SOLUTION,
535,SF PLUS WAFER 38MM,
536,SELOKEN XL 25,
537,SELOMAX 50/5,
538,SHIELD OINTMENT 15G,
539,SILICON FOLEY BALLOON CATH 16 1PIC,
540,SNOFLIPID 20% 250ML,
541,SOFTEE CREAM,
542,SOFTEE ,
543,SPIROMETER ONE BALL,
544,STAYFREE PADS (7'PIE.),
545,STEMETIL ,
546,STEMETIL,
547,SUCOL 10ML,
548,SUCTION CATHETER NO 10 1PIC,
549,SUCTION CATHETER NO 18 1PIC,
550,SULBACIN 0.75GM,
551,SULBACIN ,
552,SUNBAL 20MG,
553,SUPRACAL ,
554,SUPRAPUBIC SET(PERCATANEOUS PIG)12F-22CM,
555,SURGICEL  2X3 IN,
556,SURGIWEAR INCISE DRAPE MEDIUM,
557,SUSPENSARY BANDAGE (L),
558,SUTUPAK 2-0 NW213,
559,SYNDOPA PLUS ,
560,SYRINGE FEEDING - 50CC,
561,TA 30 - 3.5 MM BLUE,
562,AKT 3,
563,LOSARBETA H,
564,TAZACT 4.5GM,
565,TAZOLAC AM ,
566,TEGADERM 1635 CVP 8.5X10.5,
567,TELCAR 40,
568,TELLZY CH 40,
569,TELMA 20,
570,TELMA 40,
571,TELMA H,
572,TELPRESS AM,
573,TEMSAN 40,
574,THERMOMETER SMIC-GOLD,
575,TIDE 10MG,
576,TINIBA  300 MG,
577,NS 0.45% 100ML (GLASS),
578,NS 0.45% 500ML (GLASS),
579,NS 1000 ML LITRE,
580,NS 100ML  GLASS,
581,NS 10ML,
582,NS 250 ML GLASS,
583,NS 3% 100ML (HYPERTONIC),
584,NS 3% 250 ML (HYPERTONIC),
585,NS 500 ML,
586,NS 500ML GLASS,
587,NS VIAFLEX 1000ML,
588,NUCOXIA 60 MG,
589,PDS 4 -0  9109 DOUBLE NEEDLE,
590,PDS 5 -0  9201 DOUBLE NEEDLE,
591,PDS-II 1 NW9262 (LOOP),
592,PDS-II 1 NW9374,
593,PDS-II 2-0 W9133,
594,PEGLAST 0.6MG - ,
595,PEGLAST 6MG,
596,PEGRED POWDER,
597,PEGVEL SACHET,
598,PENEGRA 50 mg,
599,PERIFIX EPIDURAL CATHETER 18G,
600,PIGTIL DRAINAG CATH 16F  X 30CM,
601,POLYBION SF 100 ML,
602,POWDER FREE LATEX 6.5,
603,PPG(0.2MG),
604,PRAZOPRESS XL ,
605,PROLENE 1 NW840,
606,PROLOMET AM 50,
607,PROVIDAC,
608,PANLIPASE 35000,
609,VIZITRA,
610,DICIMOL,
611,AMLOVAS AT,
612,ROSUGOLD 75 MG,
613,AZOMET AT,
614,CETAPIN-0.2MG,
615,GLIZID MR-60,
616,Brom 2.5mg,
617,Aqusol alternate day,
618,T R SON P,
619,TOBACIN EYE DROPS,
620,PANTOCID HP KIT,
621,TELMIRIDE AM- TABLET,
622,STROMIX 75,
623,MONTEK LC,
624,TELMA XX 50- TABLET,
625,RAZEL 10MG,
626,LEUCOVERIN 15MG,
627,BENZ,
628,ROCAS ,
629,PANGRAFT 0.25,
630,ENMOIST CREAM,
631,GUFICOL 2MIU,
632,HYDROCORT 50mg,
633,KEBIMOL 1gm,
634,HUMAN ALBUMIN 20% 100ml,
635,PDS-II 3-0 NW9237,
636,PDS-II 4-0 NW9304,
637,PDS-II 5-0 Z1013,
638,PDS-II 6-0 W9093,
639,PEDIA DRIP 1SET,
640,PEG REPLACEMENT PEG TUBE 20F,
641,PEG REPLACEMENT PEG TUBE 24F,
642,POLYSORB ENDO STITCH 2/0 48,
643,PONDS TALC (100G),
644,POTASSIUM CHLORIDE,
645,POTASSIUM PERMANGANATE I.P. 20G,
646,POTKLOR ,
647,POVIZ MA OINT,
648,POWDER FREE  LATEX 7,
649,POWDER FREE  LATEX 7.5,
650,PPH03 HEMMORHOIDAL STAPLAR,
651,PPSON 40 ,
652,PPSON D,
653,PRAZ 40MG,
654,PRAZ D,
655,PREGA NEWS PREGNANCY TEST 1 PCS,
656,PREGALIN 75MG,
657,PRESSURE MONITORING 150C 1PIC,
658,PRESSURE MONITORING 200C 1PIC,
659,PROCTO TUB PILES,
660,PROCTOCLYSIS ENEMA 100ML,
661,PROLENE 1 NW843,
662,PROLENE 1-0 846 BLUE 1PIC,
663,PROLENE 2-0 NW844,
664,PROLENE 3-0 NW838,
665,PROLENE 4-0 NW849,
666,NEONET 10X10CM SINGAL DRESSING,
667,NEOROF 10ML,
668,NEOMOL 250 MG SUPPO,
669,NEOMOL 80 MG SUPPO,
670,NEOROF 20 ML,
671,NEOSPORIN EYE/SKIN OINTMENT 5G,
672,NEOSPORIN H EAR DROPS,
673,NEOSPORIN POWDER,
674,NEOSPORIN SKIN OINTMENT 20G,
675,NEOSPORIN-H EYE/SKIN OINTMENT 5G,
676,NEPHROSTERIL 500ML,
677,NETSPAN 300MG ,
678,NEUROBION FORTE 3ML,
679,NEUROBION FORTE ,
680,NEXPRO 40 MG ,
681,NEXPRO 40MG ,
682,NEXPRO FAST 40 ,
683,NEXPRO IT ,
684,NEXPRO L ,
685,NEXPRO RD 40MG ,
686,NICARDIA CD 30MG ,
687,NICARDIA RETARD 10MG ,
688,NICARDIA RETARD 20MG ,
689,NICOTEX 4 MG ,
690,NIFTRAN 100MG ,
691,NIKO ENDO BAG 125X175,
692,NIKO ENDO BAG 5X7,
693,NIKORAN 5MG,
694,NIKORAN I.V. 48MG ,
695,NIMULID MD ,
696,NIPRO SYRINGE 50ML LEUR LOCK,
697,NIRLYTE M 1000ML,
698,NIRLYTE M 500ML,
699,NIRLYTE P 500ML,
700,NIRTRAN 40 NS ,
701,NISE 100MG,
702,NITROCIN LINGUAL SPRAY,
703,NITROGESIC OINTMENT 30GM,
704,NORAD 2ML,
705,NORFLOX 200MG,
706,NORFLOX 400MG,
707,NORFLOX TZ,
708,NORMAXIN MB ,
709,NORMAXIN,
710,NOVAMOX 500 MG,
711,NOVOFINE NEEDLE 1PIC,
712,NOVORAPID FLEXPEN  3ML,
713,NOVOSYN  V  2437 C0068030,
714,NOVOSYN  V 2317 C0068447,
715,NOVOSYN  V 2346 C0068556,
716,NOVOSYN  V2347 C0068557,
717,NUSAM 400MG,
718,NUTRIFLEX LIPID SPECIAL 1250 ML,
719,NUTRIFLEX PERI 1000ML,
720,NYCIL LAVENDER POWDER 150GM,
721,O2,
722,O2H ,
723,OBESIGO CHOCOLATE POW,
724,OBESIGO STRAWBERRY  POW,
725,OCID 20 MG,
726,OCID 40MG,
727,OCID D,
728,OCID DSR ,
729,OCID QRS ,
730,OFLIN 200MG,
731,OFLOX 200 MG ,
732,OFLOX 400 MG,
733,OFLOX 100ML,
734,OFRAMAX 1G,
735,OFRAMAX 2G,
736,OFRAMAX FORTE 1.5G,
737,OLEANZ 5MG,
738,PANKREOFLAT ,
739,"PANLIPASE 10,000",
740,PANPURE DSR ,
741,PANPURE,
742,ARBITEL TRIO 25,
743,PANTOCID D,
744,PANTOCID DSR ,
745,PANTOCID L ,
746,PANTODAC ,
747,PANTODAC  L  ,
748,PANTODAC 20MG ,
749,ROSUVAS CV 75/10,
750,PANTODAC DSR ,
751,PANZYNORM HS ,
752,PAPARIN ,
753,PARACHUTE COCONUT HAIR OIL (100ML),
754,METHYLENE BLUE,TRAMADOL 50MG
755,METOLAR 50 MG,TRAMADOL DT 50MG
756,METOLAR  5ML,TRAMADOL HCL +PARACETAMOL
757,METROGYL 200MG,TRAMADOL HCL 100MG
758,METROGYL 400MG,TRAMADOL HCL 50MG
759,METROGYL IV 100ML,TRENEXAMIC ACID 
760,METROGYL GEL PLUS 30 GM,TRAMODOL 37.5+PARACETAMOL 325MG
